Taxonomy,Level,Entries,Amplifies,Differentiable,Rank Summary
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Saturnispora;Saturnispora ahearnii,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae,5,391,136,136,"['none (255)', 'species (136)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma,6,224,93,93,"['none (131)', 'species (93)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma;Tricholoma sejunctum,7,3,0,0,['none (3)']
Fungi;Basidiomycota;Agaricomycetes;Polyporales,4,1903,552,552,"['species (552)', 'none (1351)']"
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Incrustoporiaceae,5,50,19,19,"['species (19)', 'none (31)']"
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Incrustoporiaceae;Skeletocutis,6,38,17,17,"['species (17)', 'none (21)']"
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Incrustoporiaceae;Skeletocutis;Skeletocutis semipileata,7,1,1,1,['species (1)']
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Chaetothyriales fam Incertae sedis,5,541,77,77,"['none (464)', 'species (77)']"
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Chaetothyriales fam Incertae sedis;Chaetothyriales gen Incertae sedis,6,526,72,72,"['none (454)', 'species (72)']"
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Chaetothyriales fam Incertae sedis;Chaetothyriales gen Incertae sedis;Chaetothyriales sp,7,526,72,72,"['none (454)', 'species (72)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae,5,806,36,36,"['none (770)', 'species (36)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium,6,313,22,22,"['none (291)', 'species (22)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium buharicum,7,5,0,0,['none (5)']
Fungi;Ascomycota;Leotiomycetes;Leotiales,4,558,66,66,"['none (492)', 'species (66)']"
Fungi;Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae,5,367,23,23,"['none (344)', 'species (23)']"
Fungi;Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae;Tympanidaceae gen Incertae sedis,6,313,6,6,"['none (307)', 'species (6)']"
Fungi;Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae;Tympanidaceae gen Incertae sedis;Tympanidaceae sp,7,313,6,6,"['none (307)', 'species (6)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales fam Incertae sedis;Bulbithecium,6,7,0,0,['none (7)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales fam Incertae sedis;Bulbithecium;Bulbithecium truncatum,7,1,0,0,['none (1)']
Fungi;Glomeromycota,2,1998,502,472,"['none (1512)', 'species (472)', 'phylum (1)', 'class (4)', 'domain (1)', 'order (2)', 'family (6)']"
Fungi;Glomeromycota;Glomeromycetes,3,1695,354,329,"['none (1356)', 'species (329)', 'class (4)', 'domain (1)', 'family (5)']"
Fungi;Glomeromycota;Glomeromycetes;Glomerales,4,1275,12,12,"['none (1263)', 'species (12)']"
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae,5,1243,6,6,"['none (1237)', 'species (6)']"
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus,6,272,1,1,"['none (271)', 'species (1)']"
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus sp,7,251,0,0,['none (251)']
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus tetrastratosum,7,4,0,0,['none (4)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae,5,158,77,76,"['none (82)', 'species (76)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia,6,97,45,44,"['none (53)', 'species (44)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;Metschnikowia viticola,7,4,1,1,"['none (3)', 'species (1)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Tetraplosphaeriaceae,5,32,17,17,"['none (15)', 'species (17)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Tetraplosphaeriaceae;Tetraploa,6,17,7,7,"['none (10)', 'species (7)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Tetraplosphaeriaceae;Tetraploa;Tetraploa dashaoensis,7,1,0,0,['none (1)']
Fungi;Ascomycota;Geoglossomycetes,3,282,54,54,"['none (228)', 'species (54)']"
Fungi;Ascomycota;Geoglossomycetes;Geoglossales,4,281,54,54,"['none (227)', 'species (54)']"
Fungi;Ascomycota;Geoglossomycetes;Geoglossales;Geoglossaceae,5,269,53,53,"['none (216)', 'species (53)']"
Fungi;Ascomycota;Geoglossomycetes;Geoglossales;Geoglossaceae;Trichoglossum,6,43,8,8,"['none (35)', 'species (8)']"
Fungi;Ascomycota;Geoglossomycetes;Geoglossales;Geoglossaceae;Trichoglossum;Trichoglossum sp,7,30,1,1,"['none (29)', 'species (1)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae,5,193,64,64,"['none (129)', 'species (64)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Grigorovia,6,3,1,1,"['none (2)', 'species (1)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Grigorovia;Grigorovia transvaalensis,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Sordariales,4,1652,17,16,"['none (1635)', 'order (1)', 'species (16)']"
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae,5,307,5,4,"['none (302)', 'order (1)', 'species (4)']"
